,ids,skill_category,rank_,score_
0,ID_0,Science,1,70.0
1,ID_0,Speaking,2,68.88888888888889
2,ID_0,Instructing,3,68.85245901639344
3,ID_0,Social_Perceptiveness,4,68.65671641791045
4,ID_0,Equipment_Maintenance,5,68.62745098039215
5,ID_0,Installation,6,68.57142857142857
6,ID_0,Operation_and_Control,7,65.625
7,ID_0,Troubleshooting,8,64.58333333333334
8,ID_0,Operation_Monitoring,9,64.40677966101694
9,ID_0,Technology_Design,10,64.28571428571429
10,ID_0,Equipment_Selection,11,64.15094339622641
11,ID_0,Repairing,12,62.68656716417911
12,ID_0,Learning_Strategies,13,62.365591397849464
13,ID_0,Mathematics,14,61.97183098591549
14,ID_0,Operations_Analysis,15,61.904761904761905
15,ID_0,Quality_Control_Analysis,16,61.44578313253012
16,ID_0,Reading_Comprehension,17,60.86956521739131
17,ID_0,Management_of_Personnel_Resources,18,58.97435897435898
18,ID_0,Monitoring,19,56.9620253164557
19,ID_0,Active_Listening,20,55.81395348837209
20,ID_0,Systems_Analysis,21,55.140186915887845
21,ID_0,Active_Learning,22,54.54545454545454
22,ID_0,Systems_Evaluation,23,54.54545454545454
23,ID_0,Programming,24,54.44444444444444
24,ID_0,Management_of_Financial_Resources,25,53.07692307692308
25,ID_0,Critical_Thinking,26,52.77777777777778
26,ID_0,Judgment_and_Decision_Making,27,52.17391304347826
27,ID_0,Negotiation,28,52.083333333333336
28,ID_0,Persuasion,29,51.515151515151516
29,ID_0,Coordination,30,51.40845070422535
30,ID_0,Complex_Problem_Solving,31,50.75757575757576
31,ID_0,Service_Orientation,32,50.36496350364964
32,ID_0,Time_Management,33,50.32258064516129
33,ID_0,Management_of_Material_Resources,34,48.125
34,ID_1,Science,1,65.0
35,ID_1,Speaking,2,53.333333333333336
36,ID_1,Programming,3,50.0
37,ID_1,Technology_Design,4,48.57142857142857
38,ID_1,Installation,5,48.57142857142857
39,ID_1,Troubleshooting,6,47.91666666666667
40,ID_1,Mathematics,7,47.88732394366197
