,ids,skill_category,rank,score,feature
0,ID_0,Science,1,70.0,feature_2
1,ID_0,Speaking,2,68.88888888888889,feature_2
2,ID_0,Instructing,3,68.85245901639344,feature_3
3,ID_0,Social_Perceptiveness,4,68.65671641791045,feature_1
4,ID_0,Equipment_Maintenance,5,68.62745098039215,feature_2
5,ID_0,Installation,6,68.57142857142857,feature_4
6,ID_0,Operation_and_Control,7,65.625,feature_1
7,ID_0,Troubleshooting,8,64.58333333333334,feature_1
8,ID_0,Operation_Monitoring,9,64.40677966101694,feature_1
9,ID_0,Technology_Design,10,64.28571428571429,feature_2
10,ID_0,Equipment_Selection,11,64.15094339622641,feature_2
11,ID_0,Repairing,12,62.68656716417911,feature_3
12,ID_0,Learning_Strategies,13,62.365591397849464,feature_1
13,ID_0,Mathematics,14,61.97183098591549,feature_3
14,ID_0,Operations_Analysis,15,61.904761904761905,feature_4
15,ID_0,Quality_Control_Analysis,16,61.44578313253012,feature_5
16,ID_0,Reading_Comprehension,17,60.86956521739131,feature_2
17,ID_0,Management_of_Personnel_Resources,18,58.97435897435898,feature_3
18,ID_0,Monitoring,19,56.9620253164557,feature_1
19,ID_0,Active_Listening,20,55.81395348837209,feature_2
20,ID_0,Systems_Analysis,21,55.140186915887845,feature_1
21,ID_0,Active_Learning,22,54.54545454545454,feature_2
22,ID_0,Systems_Evaluation,23,54.54545454545454,feature_1
23,ID_0,Programming,24,54.44444444444444,feature_1
24,ID_0,Management_of_Financial_Resources,25,53.07692307692308,feature_4
25,ID_0,Critical_Thinking,26,52.77777777777778,feature_2
26,ID_0,Judgment_and_Decision_Making,27,52.17391304347826,feature_4
27,ID_0,Negotiation,28,52.083333333333336,feature_4
28,ID_0,Persuasion,29,51.515151515151516,feature_3
29,ID_0,Coordination,30,51.40845070422535,feature_2
30,ID_0,Complex_Problem_Solving,31,50.75757575757576,feature_3
31,ID_0,Service_Orientation,32,50.36496350364964,feature_1
32,ID_0,Time_Management,33,50.32258064516129,feature_2
33,ID_0,Management_of_Material_Resources,34,48.125,feature_2
34,ID_1,Science,1,65.0,feature_2
35,ID_1,Speaking,2,53.333333333333336,feature_1
36,ID_1,Programming,3,50.0,feature_1
37,ID_1,Technology_Design,4,48.57142857142857,feature_1
38,ID_1,Installation,5,48.57142857142857,feature_1
39,ID_1,Troubleshooting,6,47.91666666666667,feature_3
40,ID_1,Mathematics,7,47.88732394366197,feature_1
41,ID_1,Equipment_Selection,8,47.16981132075472,feature_1
42,ID_1,Operation_and_Control,9,46.875,feature_5
43,ID_1,Instructing,10,45.90163934426229,feature_1
44,ID_1,Operation_Monitoring,11,44.06779661016949,feature_3
45,ID_1,Reading_Comprehension,12,43.47826086956522,feature_1
46,ID_1,Equipment_Maintenance,13,43.13725490196079,feature_5
47,ID_1,Systems_Evaluation,14,42.42424242424242,feature_2
48,ID_1,Monitoring,15,41.77215189873418,feature_4
49,ID_1,Operations_Analysis,16,41.66666666666667,feature_2
50,ID_1,Persuasion,17,41.41414141414141,feature_2
51,ID_1,Management_of_Personnel_Resources,18,41.02564102564102,feature_1
52,ID_1,Repairing,19,40.298507462686565,feature_4
53,ID_1,Negotiation,20,39.58333333333333,feature_1
54,ID_1,Social_Perceptiveness,21,38.80597014925373,feature_1
55,ID_1,Learning_Strategies,22,38.70967741935484,feature_1
56,ID_1,Active_Learning,23,37.5,feature_4
57,ID_1,Systems_Analysis,24,36.44859813084112,feature_1
58,ID_1,Quality_Control_Analysis,25,36.144578313253014,feature_1
59,ID_1,Judgment_and_Decision_Making,26,35.65217391304348,feature_2
60,ID_1,Active_Listening,27,34.883720930232556,feature_1
61,ID_1,Critical_Thinking,28,34.25925925925926,feature_4
62,ID_1,Complex_Problem_Solving,29,34.090909090909086,feature_1
63,ID_1,Management_of_Financial_Resources,30,33.84615384615385,feature_5
64,ID_1,Time_Management,31,31.61290322580645,feature_2
65,ID_1,Service_Orientation,32,31.386861313868614,feature_3
66,ID_1,Management_of_Material_Resources,33,31.25,feature_1
67,ID_1,Coordination,34,30.985915492957744,feature_2
68,ID_2,Science,1,65.0,feature_3
69,ID_2,Operation_and_Control,2,56.25,feature_2
70,ID_2,Technology_Design,3,55.714285714285715,feature_1
71,ID_2,Installation,4,54.285714285714285,feature_3
72,ID_2,Mathematics,5,53.52112676056338,feature_1
73,ID_2,Instructing,6,52.459016393442624,feature_1
74,ID_2,Programming,7,52.22222222222223,feature_2
75,ID_2,Operation_Monitoring,8,50.847457627118644,feature_2
76,ID_2,Troubleshooting,9,50.0,feature_2
77,ID_2,Monitoring,10,49.36708860759494,feature_2
78,ID_2,Management_of_Personnel_Resources,11,48.717948717948715,feature_3
79,ID_2,Systems_Evaluation,12,48.484848484848484,feature_2
80,ID_2,Persuasion,13,48.484848484848484,feature_2
81,ID_2,Operations_Analysis,14,47.61904761904761,feature_1
82,ID_2,Speaking,15,46.666666666666664,feature_3
83,ID_2,Reading_Comprehension,16,45.65217391304348,feature_2
84,ID_2,Equipment_Selection,17,45.28301886792453,feature_2
85,ID_2,Equipment_Maintenance,18,45.09803921568628,feature_4
86,ID_2,Negotiation,19,44.79166666666667,feature_2
87,ID_2,Learning_Strategies,20,43.01075268817204,feature_2
88,ID_2,Active_Learning,21,42.04545454545455,feature_1
89,ID_2,Systems_Analysis,22,41.1214953271028,feature_2
90,ID_2,Quality_Control_Analysis,23,40.963855421686745,feature_1
91,ID_2,Repairing,24,40.298507462686565,feature_2
92,ID_2,Judgment_and_Decision_Making,25,40.0,feature_1
93,ID_2,Complex_Problem_Solving,26,39.39393939393939,feature_2
94,ID_2,Critical_Thinking,27,38.88888888888889,feature_1
95,ID_2,Social_Perceptiveness,28,38.80597014925373,feature_1
96,ID_2,Management_of_Financial_Resources,29,38.46153846153847,feature_5
97,ID_2,Active_Listening,30,38.372093023255815,feature_3
98,ID_2,Coordination,31,36.61971830985916,feature_2
99,ID_2,Time_Management,32,35.483870967741936,feature_1
100,ID_2,Management_of_Material_Resources,33,33.125,feature_4
101,ID_2,Service_Orientation,34,32.11678832116788,feature_5
102,ID_3,Speaking,1,53.333333333333336,feature_1
103,ID_3,Instructing,2,50.81967213114754,feature_4
104,ID_3,Learning_Strategies,3,48.38709677419355,feature_2
105,ID_3,Social_Perceptiveness,4,46.26865671641791,feature_3
106,ID_3,Management_of_Personnel_Resources,5,46.15384615384615,feature_1
107,ID_3,Installation,6,45.714285714285715,feature_1
108,ID_3,Operation_Monitoring,7,44.06779661016949,feature_3
109,ID_3,Active_Learning,8,43.18181818181818,feature_1
110,ID_3,Monitoring,9,43.037974683544306,feature_2
111,ID_3,Active_Listening,10,43.02325581395349,feature_3
112,ID_3,Science,11,42.5,feature_3
113,ID_3,Negotiation,12,41.66666666666667,feature_3
114,ID_3,Technology_Design,13,41.42857142857143,feature_1
115,ID_3,Persuasion,14,41.41414141414141,feature_2
116,ID_3,Reading_Comprehension,15,41.30434782608695,feature_5
117,ID_3,Operation_and_Control,16,40.625,feature_4
118,ID_3,Systems_Evaluation,17,40.4040404040404,feature_2
